State,unemprate,Year
Alabama,9.6,2011
Alaska,7.6,2011
Arizona,9.5,2011
Arkansas,8.3,2011
California,11.7,2011
Colorado,8.4,2011
Connecticut,8.8,2011
Delaware,7.5,2011
District of Columbia,10.2,2011
Florida,10.0,2011
Georgia,10.2,2011
Hawaii,6.8,2011
Idaho,8.3,2011
Illinois,9.7,2011
Indiana,9.1,2011
Iowa,5.5,2011
Kansas,6.5,2011
Kentucky,9.4,2011
Louisiana,7.8,2011
Maine,7.9,2011
Maryland,7.2,2011
Massachusetts,7.3,2011
Michigan,10.4,2011
Minnesota,6.5,2011
Mississippi,10.0,2011
Missouri,8.5,2011
Montana,6.9,2011
Nebraska,4.4,2011
Nevada,13.0,2011
New Hampshire,5.4,2011
New Jersey,9.3,2011
New Mexico,7.5,2011
New York,8.3,2011
North Carolina,10.3,2011
North Dakota,3.5,2011
Ohio,8.8,2011
Oklahoma,5.9,2011
Oregon,9.5,2011
Pennsylvania,7.9,2011
Rhode Island,11.0,2011
South Carolina,10.6,2011
South Dakota,4.7,2011
Tennessee,9.0,2011
Texas,7.8,2011
Utah,6.7,2011
Vermont,5.5,2011
Virginia,6.6,2011
Washington,9.3,2011
West Virginia,8.1,2011
Wisconsin,7.8,2011
Wyoming,5.8,2011
