State,unemprate,Year
Alabama,3.9,2018
Alaska,6.5,2018
Arizona,4.7,2018
Arkansas,3.6,2018
California,4.3,2018
Colorado,3.2,2018
Connecticut,4.1,2018
Delaware,3.8,2018
District of Columbia,5.7,2018
Florida,3.6,2018
Georgia,3.9,2018
Hawaii,2.5,2018
Idaho,2.9,2018
Illinois,4.3,2018
Indiana,3.5,2018
Iowa,2.6,2018
Kansas,3.3,2018
Kentucky,4.3,2018
Louisiana,4.9,2018
Maine,3.2,2018
Maryland,3.9,2018
Massachusetts,3.4,2018
Michigan,4.1,2018
Minnesota,2.9,2018
Mississippi,4.8,2018
Missouri,3.2,2018
Montana,3.6,2018
Nebraska,2.9,2018
Nevada,4.4,2018
New Hampshire,2.6,2018
New Jersey,4.1,2018
New Mexico,4.9,2018
New York,4.1,2018
North Carolina,4.0,2018
North Dakota,2.6,2018
Ohio,4.5,2018
Oklahoma,3.4,2018
Oregon,4.1,2018
Pennsylvania,4.2,2018
Rhode Island,4.0,2018
South Carolina,3.5,2018
South Dakota,3.1,2018
Tennessee,3.5,2018
Texas,3.8,2018
Utah,3.0,2018
Vermont,2.5,2018
Virginia,3.0,2018
Washington,4.5,2018
West Virginia,5.2,2018
Wisconsin,3.0,2018
Wyoming,3.9,2018
