State,unemprate,Year
Alabama,5.8,2016
Alaska,6.9,2016
Arizona,5.4,2016
Arkansas,4.0,2016
California,5.5,2016
Colorado,3.3,2016
Connecticut,5.1,2016
Delaware,4.5,2016
District of Columbia,6.1,2016
Florida,4.8,2016
Georgia,5.4,2016
Hawaii,3.0,2016
Idaho,3.8,2016
Illinois,5.8,2016
Indiana,4.4,2016
Iowa,3.6,2016
Kansas,4.0,2016
Kentucky,5.1,2016
Louisiana,6.1,2016
Maine,3.8,2016
Maryland,4.5,2016
Massachusetts,3.9,2016
Michigan,5.0,2016
Minnesota,3.9,2016
Mississippi,5.8,2016
Missouri,4.6,2016
Montana,4.1,2016
Nebraska,3.1,2016
Nevada,5.7,2016
New Hampshire,2.9,2016
New Jersey,5.0,2016
New Mexico,6.6,2016
New York,4.9,2016
North Carolina,5.1,2016
North Dakota,3.1,2016
Ohio,5.0,2016
Oklahoma,4.8,2016
Oregon,4.8,2016
Pennsylvania,5.4,2016
Rhode Island,5.2,2016
South Carolina,5.0,2016
South Dakota,3.0,2016
Tennessee,4.7,2016
Texas,4.6,2016
Utah,3.4,2016
Vermont,3.2,2016
Virginia,4.1,2016
Washington,5.3,2016
West Virginia,6.1,2016
Wisconsin,4.0,2016
Wyoming,5.3,2016
