State,unemprate,Year
Alabama,7.2,2013
Alaska,7.0,2013
Arizona,7.7,2013
Arkansas,7.2,2013
California,8.9,2013
Colorado,6.9,2013
Connecticut,7.8,2013
Delaware,6.7,2013
District of Columbia,8.5,2013
Florida,7.2,2013
Georgia,8.2,2013
Hawaii,4.9,2013
Idaho,6.1,2013
Illinois,9.0,2013
Indiana,7.7,2013
Iowa,4.7,2013
Kansas,5.3,2013
Kentucky,8.0,2013
Louisiana,6.7,2013
Maine,6.6,2013
Maryland,6.6,2013
Massachusetts,6.7,2013
Michigan,8.8,2013
Minnesota,5.0,2013
Mississippi,8.5,2013
Missouri,6.7,2013
Montana,5.4,2013
Nebraska,3.8,2013
Nevada,9.6,2013
New Hampshire,5.1,2013
New Jersey,8.2,2013
New Mexico,6.9,2013
New York,7.7,2013
North Carolina,8.0,2013
North Dakota,2.9,2013
Ohio,7.5,2013
Oklahoma,5.3,2013
Oregon,7.9,2013
Pennsylvania,7.4,2013
Rhode Island,9.3,2013
South Carolina,7.6,2013
South Dakota,3.8,2013
Tennessee,7.8,2013
Texas,6.3,2013
Utah,4.6,2013
Vermont,4.4,2013
Virginia,5.7,2013
Washington,7.0,2013
West Virginia,6.8,2013
Wisconsin,6.7,2013
Wyoming,4.7,2013
