State,unemprate,Year
Alabama,8.0,2012
Alaska,7.1,2012
Arizona,8.3,2012
Arkansas,7.6,2012
California,10.4,2012
Colorado,7.9,2012
Connecticut,8.3,2012
Delaware,7.2,2012
District of Columbia,9.0,2012
Florida,8.5,2012
Georgia,9.2,2012
Hawaii,6.0,2012
Idaho,7.2,2012
Illinois,9.0,2012
Indiana,8.3,2012
Iowa,5.0,2012
Kansas,5.7,2012
Kentucky,8.2,2012
Louisiana,7.1,2012
Maine,7.5,2012
Maryland,7.0,2012
Massachusetts,6.7,2012
Michigan,9.1,2012
Minnesota,5.6,2012
Mississippi,9.0,2012
Missouri,6.9,2012
Montana,6.0,2012
Nebraska,4.0,2012
Nevada,11.2,2012
New Hampshire,5.5,2012
New Jersey,9.3,2012
New Mexico,7.1,2012
New York,8.5,2012
North Carolina,9.3,2012
North Dakota,3.1,2012
Ohio,7.4,2012
Oklahoma,5.2,2012
Oregon,8.8,2012
Pennsylvania,7.8,2012
Rhode Island,10.4,2012
South Carolina,9.2,2012
South Dakota,4.3,2012
Tennessee,7.8,2012
Texas,6.7,2012
Utah,5.4,2012
Vermont,5.0,2012
Virginia,6.1,2012
Washington,8.1,2012
West Virginia,7.5,2012
Wisconsin,7.0,2012
Wyoming,5.3,2012
