State,unemprate,Year
Alabama,6.8,2014
Alaska,6.9,2014
Arizona,6.8,2014
Arkansas,6.0,2014
California,7.5,2014
Colorado,5.0,2014
Connecticut,6.6,2014
Delaware,5.7,2014
District of Columbia,7.8,2014
Florida,6.3,2014
Georgia,7.1,2014
Hawaii,4.4,2014
Idaho,4.8,2014
Illinois,7.1,2014
Indiana,6.0,2014
Iowa,4.2,2014
Kansas,4.5,2014
Kentucky,6.5,2014
Louisiana,6.4,2014
Maine,5.6,2014
Maryland,5.8,2014
Massachusetts,5.7,2014
Michigan,7.2,2014
Minnesota,4.2,2014
Mississippi,7.5,2014
Missouri,6.1,2014
Montana,4.7,2014
Nebraska,3.3,2014
Nevada,7.9,2014
New Hampshire,4.3,2014
New Jersey,6.8,2014
New Mexico,6.7,2014
New York,6.3,2014
North Carolina,6.3,2014
North Dakota,2.7,2014
Ohio,5.8,2014
Oklahoma,4.5,2014
Oregon,6.8,2014
Pennsylvania,5.9,2014
Rhode Island,7.7,2014
South Carolina,6.5,2014
South Dakota,3.4,2014
Tennessee,6.6,2014
Texas,5.1,2014
Utah,3.8,2014
Vermont,3.9,2014
Virginia,5.2,2014
Washington,6.1,2014
West Virginia,6.6,2014
Wisconsin,5.4,2014
Wyoming,4.1,2014
